Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,,
Papercut,Papercuts,Linkin Park,4/12/24,USWB11201315,"1,177",43.8,"497,285,757",130,"484,758",,,,,,,,,,,,,,,,,,,0,,
Chanel,Chanel,Becky G,3/30/23,USRC12300804,"1,175",43.8,"287,853,890","21,244","8,675,975",65,"267,142,398","1,552,179","98,312","44,289,816","550,080,768","411,799,517",31,"1,280",65,12,"378,233",20,"32,344,279","4,466",,"546,765",,0,,
Otro Trago,Sueï¿½ï,Sech,4/18/19,QM9WM1900120,"1,172",43.8,"693,061,510","73,605","21,529,712",63,"1,315,371,330","9,042,596","263,379","6,844,512","81,046,643","278,722,746",56,"11,331",30,9,"344,693",38,"80,895,090","47,467",,"3,179,632",,1,,
Religiously,Religiously,Bailey Zimmerman,3/17/23,USWB12300537,"1,178",43.7,"225,556,005","25,164","10,017,767",73,"23,904,394","111,346","73,524","5,688,685","56,949,752","243,552,012",28,"154,327",117,2,644,17,"92,243,007","13,325","2,899,190","594,487",,0,,
Hello,Hello,Adele,10/23/15,GBBKS1500214,"1,186",43.6,"1,550,553,401","140,637","42,531,792",68,"347,935,820","3,794,833","209,908","68,479,244","707,793,848","1,006,781",288,"52,436",119,166,"496,477",40,"919,585,690","959,806",,"11,659,524",,0,,
HAY LUPITA,HAY LUPITA - Single,Lomiiel,3/28/24,QZHNA2429530,"1,187",43.6,"22,692,011","1,996","19,217,759",71,"51,510,163","439,315","6,538","9,803,472","84,927,420","5,782,251",13,"1,909",,4,"492,038",,"125,762","1,408",,"516,845",,0,,
Gatita,Gatita,Bellakath,10/5/22,QZPLR2286558,"1,184",43.6,"218,661,601","25,714","8,048,259",57,"173,995,566","1,354,818","1,961,387","191,009,331","2,353,588,008","324,051",8,"13,477",600,3,"154,370",24,"4,469,095","7,776","38,842","873,692",,0,,
World on Fire,NATE SMITH (DELUXE),Nate Smith,4/28/23,USRN12300006,"1,183",43.6,"100,360,956","15,383","9,521,311",69,"12,196,961","98,714","45,372","6,096,788","57,109,846",,19,"242,951",37,6,"23,353",17,"66,436,990","4,806",,"415,236",,0,,
Love You Anyway,Love You Anyway,Luke Combs,2/10/23,US6XF2100158,"1,185",43.6,"164,507,374","29,896","7,920,265",67,"47,201,934","291,689","127,315","21,357,285","220,946,119","389,278,042",20,"146,916",4,2,592,23,"124,948,868","11,423",,"624,045",,0,,
MOJABI GHOST,DATA,Tainy,6/29/23,USA2P2331985,"1,188",43.5,"368,429,447","46,625","20,677,828",75,"74,049,864","676,666","3,207","955,307","6,911,099","638,649,904",52,"4,683",49,11,"847,361",10,"6,221,683","1,262",,"715,485",,1,,
Papercut,Papercuts,Linkin Park,4/12/24,USWB12401897,"1,193",43.4,"497,285,757",4,466,,,,,,,,,,,,,,,,476,,,0,,
Gucci Gang,Gucci Gang,Lil Pump,8/31/17,USWB11701486,"1,189",43.4,"648,757,330","66,961","13,429,975",55,"1,402,505,864","15,657,910","1,404,568","27,119,678","243,585,831","200,186,337",62,"13,516",6,20,"52,013",5,"79,188,658","496,624",,"2,724,063",,1,,
La Bebe,LPM,Yng Lvcas,12/24/21,QZTAT2174000,"1,198",43.3,"255,707,376","35,404","4,489,095",64,"132,383,657","926,647","3,955,024","237,343,814","3,229,349,729",,4,"3,835",44,,,2,"1,505,248","8,802",,"1,296,219",,1,,
Jaded,Endless Summer Vacation,Miley Cyrus,3/10/23,USSM12209778,"1,197",43.3,"173,349,210","22,117","9,481,406",65,"69,971,780","926,126","12,719","7,349,390","120,314,198","24,140,873",40,"225,522",416,41,"782,200",20,"56,973,358","6,891",,,,1,,
Bye,Bye,Peso Pluma,5/26/23,QM6P42321186,"1,196",43.3,"252,239,644","24,974","6,379,185",65,"157,154,307","1,031,138","408,410","96,001,756","1,121,997,176",,35,692,,3,"132,211",11,"18,131,311","9,970",,"415,733",,1,,
Wolves,Wolves,Selena Gomez,10/25/17,USUM71712103,"1,200",43.3,"1,358,424,406","123,735","33,188,573",71,"930,929,767","8,736,302","961,584","29,990,673","253,791,542","360,395,375",116,"104,652",14,53,"382,928",33,"172,588,260","120,004","17,138,164","7,290,982",,0,,
Scars To Your Beautiful,Know-It-All,Alessia Cara,11/13/15,USUM71506811,"1,201",43.2,"1,422,563,654","129,568","38,951,634",71,"710,718,042","9,930,759","4,732,710","104,484,107","736,544,909","461,321,746",138,"171,774",288,39,"217,966",26,"462,206,026","174,621","19,565,726","113,684",,0,,
Surface Pressure,Encanto (Original Motion Picture Soundtrack),Jessica Darrow,11/19/21,USWD12112914,"1,204",43.2,"318,018,082","41,062","14,552,186",65,"580,242,930","3,471,774","103,897","128,850,291","1,100,134,488","67,010,140",35,"2,041",155,1,"10,044",18,"49,383,663","66,811","2,375,505","466,130",,0,,
Volver Al Futuro,Volver Al Futuro,Oscar Maydon,5/30/24,QZ9QQ2400330,"1,202",43.2,"25,593,926","1,247","63,521,139",78,"7,493,616","162,691",,,,,18,,,10,"1,604,245",9,"68,326",56,"1,742","33,433",,0,,
Praise God,Donda,Kanye West,8/29/21,USUM72116287,"1,208",43.1,"451,323,154","143,071","22,968,843",67,"75,632,640","1,192,980","1,232,812","540,795,852","4,707,280,248","144,247,309",24,"1,395",182,10,"38,020",25,"14,923,065","9,847",,"3,075,257",,0,,
Friesenjung,Friesenjung,Ski Aggu,5/25/23,DE1FB2300037,"1,205",43.1,"150,508,549","70,377","9,755,773",70,"31,956,891","485,999",,,,"54,635,920",24,"5,723",,12,"67,068",4,,,,"703,536",,1,,
El Azul,El Azul - Single,Junior H,2/10/23,QZ9QQ2300115,"1,206",43.1,"684,103,586","42,304","22,784,674",76,"125,144,381","583,066","433,800","68,202,730","622,470,844","445,229,053",37,112,2,4,"1,164,409",9,"10,305,981","2,327",,"764,296",,0,,
EARFQUAKE,IGOR,"Tyler, The Creator",5/17/19,USQX91901111,"1,207",43.1,"962,546,385","198,786","34,308,753",76,"262,134,097","4,025,958","55,093","46,126,757","247,993,418","14,944,702",106,"1,834",1,52,"709,963",38,"10,998,403","48,358","47,720,548","1,242,490",,1,,
Fin de Semana,Fin de Semana,Oscar Maydon,1/13/23,QZ9QQ2300040,"1,211",43,"568,846,143","38,126","18,723,665",76,"209,204,080","876,672","4,469","2,225,214","19,351,144",,25,275,,4,"1,270,150",8,"26,957,938","5,256","2,173,263","896,673",,0,,
Every Breath You Take,Learned from Love,Bonnie Kimmel,5/26/17,ES8481701126,"1,215",42.9,,,,,,,,,,,,,,,,,,,,"171,902,000",,0,,
Forever After All,What You See Ain't Always What You Get (Deluxe Edition),Luke Combs,10/23/20,US6XF2000192,"1,217",42.9,"472,886,929","66,543","14,596,512",70,"247,466,941","1,347,724","412,458","53,390,196","454,676,514","523,499,656",71,"272,994",35,9,"18,449",22,"336,822,010","60,046",,"1,332,172",,0,,
Numb,Numb,Marshmello,6/10/22,USRC12202117,"1,219",42.9,"401,066,217","70,661","51,920,160",69,"54,641,192","657,641",420,"8,253","172,191","2,605,082,758",79,"196,397","2,585",51,"1,008,113",59,"68,018,763","12,536","1,226,486","2,292,241",,0,,
Ojapiano,Ojapiano - Single,KCee,6/3/23,QZNJW2329848,"1,222",42.8,"27,444,985","8,182","3,092,737",56,"30,407,112","269,687","2,000,000","36,069,120","619,648,663",,18,"1,210",11,1,"112,183",4,"331,855",165,,"1,476,897",,0,,
Area Codes,Area Codes,Kaliii,3/17/23,USAT22301942,"1,220",42.8,"228,240,866","33,819","27,729,274",68,"71,928,705","887,392","431,192","122,679,145","1,249,845,764","501,704,711",37,"90,410","1,642",5,"60,728",33,"16,590,391","20,001",,"1,338,659",,1,,
Medallo,Hecho En Medellï¿½,Blessd,10/27/21,COA6W2102282,"1,224",42.8,"452,087,681","66,494","24,042,564",65,"509,694,751","2,049,523","244,300","59,474,554","754,567,803","367,804,074",53,"31,265",145,13,"1,704,398",13,"5,561,332","3,809",,"1,414,880",,1,,
Domingo Abacaxi Flamingo,Domingo Abacaxi Flamingo,Bolofofos,9/2/20,CACWV2000813,"1,221",42.8,"12,933,566","1,887","331,053",51,"1,306,329,440","3,311,080","79,148","1,732,260","40,068,889",,,2,,,,,,,,,,0,,
Riptide,Ministry Of Sound Presents Chillout Sessions XVI,Vance Joy,1/1/13,AULI01385760,"1,223",42.8,"2,541,833,602","369,150","165,607,442",80,"533,440,453","4,627,060","856,131","383,809,767","3,108,986,398","2,161,449",231,"132,498",171,91,"540,337",70,,,"68,063,923","16,496,792",,0,,
Ch y la Pizza,Ch y la Pizza,Fuerza Regida,12/1/22,QZ9QQ2200104,"1,230",42.7,"511,421,362","37,923","17,851,037",75,"265,678,775","844,731","68,003","17,455,943","204,148,897",57,24,227,5,9,"1,456,328",8,"27,745,557","3,997",,"739,587",,1,,
In Ha Mood,In Ha Mood,Ice Spice,1/6/23,USUG12300365,"1,234",42.7,"190,126,590","39,734","15,519,701",63,"71,742,798","984,809","924,557","175,869,184","1,435,693,104","44,538,105",47,"94,993","2,376",14,"202,602",36,"7,622,027","6,229",,"1,093,911",,1,,
ALL MINE,WASTELAND,Brent Faiyaz,7/8/22,QM24S2203185,"1,232",42.7,"315,014,005","61,987","22,567,278",71,"77,564,375","661,614","129,260","51,356,427","366,123,920","57,858,388",27,"101,865",21,3,"28,284",23,"21,452,340","16,317","13,608,463","1,112,722",,1,,
The Night We Met,The Night We Met,Lord Huron,2/9/15,US53Q1200103,"1,226",42.7,"2,097,181,065","286,668","123,211,490",84,"807,672,690","8,866,507","451,668","239,330,349","1,722,597,041","7,770,380",78,"11,224",43,49,"1,101,868",44,"288,302,729","147,940","2,601,964","8,832,956",,0,,
HOLA PERDIDA REMIX,HOLA PERDIDA REMIX,Luck Ra,5/31/24,CLPP22400062,"1,228",42.7,"8,981,282",873,"40,161,269",70,"10,058,975","233,142",,,,"18,880,887",14,493,,29,"398,272",11,"23,748",9,27,"17,326",,0,,
Talk,Talk,Yeat,9/2/22,USUM72216448,"1,229",42.7,"242,057,987","77,898","8,717,113",67,"39,581,789","457,747","46,710","13,919,189","109,453,452","92,497",10,127,7,1,"4,435",11,"1,216,305","3,164","21,272,944","999,699",,1,,
Now And Then,Now And Then,The Beatles,11/2/23,GBUM72203947,"1,235",42.6,"66,843,778","23,455","13,808,666",,"52,809,148","1,252,936","10,600","7,478,172","151,511,760","1,532,321,384",36,"37,800",5,34,"2,915,839",38,"5,217,426","4,549",,"808,129",,0,,
Sign on the Door,Sign on the Door,Dora Lachaise,3/29/23,GBU2Z2200001,"1,236",42.6,,4,267,,"466,723,346","563,068",,,,,,5,,,,,,,,7,,0,,
Kya Loge Tum,Kya Loge Tum,B Praak,5/15/23,INUM72300286,"1,238",42.6,"89,701,636","2,561","1,939,449",57,"375,460,772","3,277,504","22,300","649,330","15,339,768","85,756,632",3,272,,,,5,720,,,"104,287",,0,,
California Breeze,It's Only Me,Lil Baby,10/14/22,USUG12207230,"1,237",42.6,"116,994,951","45,626","8,408,366",61,"152,685,892","733,891",,,,"210,645,964",44,"4,710",200,5,"90,714",1,"44,593,072","13,300","17,609,055","671,214",,1,,
Nonstop,Scorpion,Drake,6/29/18,USCM51800191,"1,239",42.6,"1,118,459,427","175,188","51,548,109",71,"409,939,539","3,134,200","1,703,073","223,929,731","2,167,216,619","2,107,447",147,242,107,28,"228,758",30,"283,709,268","193,608","6,347,238","4,021,390",,1,,
LOVE DIVE,LOVE DIVE,IVE,4/5/22,KRA382204375,"1,243",42.5,"397,988,770","28,165","11,131,897",69,"583,304,882","4,759,365","204,227","219,351,151","1,878,718,115","189,613,465",31,"3,065",78,7,"42,644",10,"731,310","1,474",,"468,601",,0,,
Alucin,Alucin,Eugenio Esquivel,11/17/23,QMFMF2346943,"1,242",42.5,"207,103,587","16,933","25,825,570",,"85,555,081","727,436",,,,"83,238,337",14,"3,573",5,26,"9,087,254",3,"1,748,090","2,815",,"705,754",,1,,
Go Stupid,Go Stupid,Polo G,2/14/20,USQX92000261,"1,241",42.5,"416,388,749","112,485","21,170,575",69,"122,253,253","1,631,776","248,954","151,447,909","940,333,420","7,278,941",27,"9,098",125,11,"24,022",11,"18,692,714","21,103","80,439,766","1,046,790",,1,,
Lovesick Girls,THE ALBUM,BLACKPINK,10/2/20,KRA402000136,"1,248",42.4,"561,712,007","40,766","14,363,550",65,"959,285,337","16,946,156","578,093","95,381,031","694,367,550","179,751,718",55,"23,131",9,16,"106,541",14,"3,443,241","5,033",,"977,988",,0,,
Una Vida Pasada,Una Vida Pasada,Camilo,4/2/24,USSD12400106,"1,249",42.4,"50,955,386","2,952","47,126,163",81,"40,003,695","294,012","11,400","3,726,119","40,019,764","30,907,986",40,"4,576",,42,"3,315,443",19,"845,380",344,,"217,303",,0,,
Steven Universe,Steven Universe,L.Dre,2/21/20,QZFZ32084911,"1,245",42.4,"54,104,852","14,464","2,212,197",50,,,"10,501,056","2,714,697,966","22,902,123,485",,5,33,,2,287,,"126,291",698,,"503,200",,0,,
places to be,places to be,Fred again..,5/31/24,GBAHS2400279,"1,250",42.4,"11,581,454","2,277","40,816,159",73,"443,994","16,154",,,,"4,330,498",51,"1,187",1,29,"929,803",47,"35,871",34,"148,032","48,101",,1,,
ASI ES LA VIDA,ASI ES LA VIDA,Enrique Iglesias,9/28/23,USSD12300536,"1,254",42.3,"123,776,123","11,830","22,722,898",,"144,081,808","854,410","135,600","3,931,596","80,775,271","258,781,688",36,2,,34,"1,435,593",27,"5,728,517","1,038",,"985,508",,0,,
Elvira,Elvira,Oscar Maydon,12/20/23,QZ9QQ2300978,"1,255",42.3,"183,146,334","8,183","47,711,465",81,"97,178,744","465,269",,,,"1,252,418,051",13,,,10,"2,291,939",19,"1,762,919","1,461",,"382,419",,1,,
Fantasias,Fantasias,Rauw Alejandro,8/29/19,QM6P41989279,"1,253",42.3,"663,578,551","76,919","24,789,585",67,"1,120,507,756","4,714,790","264,337","14,860,378","121,300,058","48,140,480",60,"18,961",53,23,"251,089",36,"53,117,205","9,900","7,834,351","1,795,507",,0,,
El Jefe,El Jefe,Shakira,9/20/23,USQX92305281,"1,252",42.3,"122,882,453","11,838","10,617,531",,"164,469,434","2,120,071",1,"8,480","72,400","11,351,590",8,"16,284",162,23,"340,362",14,"9,108,491","4,377","37,878","481,428",,1,,
Am,AM,Nio Garcia,1/28/21,QM4TW2137909,"1,257",42.2,"361,357,607","70,546","11,143,810",57,"668,095,711","3,934,415","1,100,094","123,820,134","1,087,148,231","57,766,471",27,"12,106",25,11,"1,615,617",7,"21,888,540","3,685",,"767,913",,1,,
Te Lo Agradezco,Te Lo Agradezco,Kany Garcï¿½,7/27/23,US5022300029,"1,258",42.2,"169,162,533","9,016","8,885,567",73,"210,403,837","848,450","30,483","1,140,777","22,480,064","749,855,362",14,"9,599",,22,"3,911,259",3,"11,103,615","2,348",,"623,417",,0,,
PLEBADA,PLEBADA,El Alfa,6/8/23,QM6P42370020,"1,260",42.2,"148,677,837","17,100","7,456,228",65,"254,704,259","1,938,875","1,567","35,439","724,569","12,152,639",21,"3,440",2,4,"30,339",6,"7,824,927","3,804",,"405,352",,0,,
Fall In Love,Fall In Love,Bailey Zimmerman,2/11/22,USWB12200122,"1,262",42.2,"262,185,115","47,288","6,430,525",71,"121,592,933","606,455","47,803","14,280,562","149,251,921","378,953,464",25,"187,078",123,3,"95,430",23,"177,097,668","19,788","7,478,229","1,389,636",,0,,
Cupid,The Beginning: Cupid - Single,FIFTY FIFTY,2/24/23,KSA012239180,"1,256",42.2,"212,084,990","34,632","4,625,072",37,"191,028,847","3,745,346","159,346","66,491,755","543,360,467","54,875,497",15,"41,846",809,,,4,"2,219,997","17,467",,"1,249,929",,0,,
Dj Gamm Gamm Piri Slow,Dj Gamm Gamm Piri Slow,DJ BAHBUS,9/28/22,SGB502262965,"1,265",42.1,"32,014",7,10,,"68,945",653,"4,500,000","27,946,393","533,737,667",,,,,,,,,,,"3,942",,0,,
Waiting For Love,Ibiza Residence 2015,Avicii,1/1/15,CHB701400134,"1,263",42.1,"1,397,975,653","205,128","62,368,816",74,"1,701,608,739","13,598,875","1,175,137","19,503,025","154,837,616","180,189,999",130,"56,643",,69,"344,319",23,"35,406,623","22,105",,"10,834,953",,0,,
Hello,Hello,Muramatsu Karaoke,12/4/15,USE831522275,"1,268",42,"3,531",2,4,,"3,250,879,013","19,819,631",,,,"2,025,160,205",,,,,,,,,,,,0,,
Mo Bamba,Mo Bamba,Sheck Wes,9/19/17,QM24S1703585,"1,266",42,"1,056,346,890","198,581","38,436,526",71,"498,454,408","5,874,304","1,043,308","86,359,858","1,247,183,383","30,421,918",74,"32,288",40,26,"182,979",5,"106,799,012","511,514",,"6,159,848",,1,,
Bank Account,Issa Album,21 Savage,7/6/17,USSM11705546,"1,267",42,"1,150,653,471","195,032","31,101,180",70,"822,892,668","6,651,112","909,432","91,295,431","812,215,684","49,508,355",112,61,35,45,"159,480",20,"252,331,684","206,623",,"4,014,637",,1,,
Never Felt So Alone,Never Felt So Alone,Labrinth,4/7/23,USSM12302165,"1,275",41.9,"269,669,185","44,019","21,429,823",67,"29,035,288","608,532","581,320","71,546,908","531,883,271","310,252,051",43,"10,042",444,23,"268,315",11,"5,505,845","2,665","3,725,738","1,595,888",,0,,
Baile do Bruxo,Baile do Bruxo,Tropa do Bruxo,9/29/23,QZWDE2303666,"1,273",41.9,"155,915,718","26,646","24,127,645",,"76,324,065","717,892",,,,"9,259,796",9,23,,28,"3,171,686",15,,,"3,639,158","315,593",,1,,
Love Me JeJe,Love Me JeJe - Single,Tems,4/25/24,USRC12400907,"1,274",41.9,"34,621,656","4,787","53,092,639",76,"8,346,529","193,964",,"1,315","9,450",777,104,"8,241",41,34,"563,039",83,"1,495,398",339,,"251,413",,0,,
Heather,Kid Krow,Conan Gray,3/20/20,USUM71924264,"1,276",41.8,"1,675,083,208","191,604","123,682,546",80,"138,807,824","3,143,644","564,728","142,804,065","755,895,289","22,941,276",105,"36,474",10,42,"628,449",29,"25,061,083","81,558",,"2,614,466",,0,,
Mas Rica Que Ayer,Mas Rica Que Ayer,Anuel AA,3/2/23,QM4TX2320032,"1,278",41.7,"256,112,908","34,370","18,181,647",67,"245,635,362","1,493,703",,,,"71,623,054",18,"14,967",122,5,"132,180",15,"4,994,796","1,116",,"542,476",,1,,
Love Again,Future Nostalgia,Dua Lipa,3/27/20,GBAHT1901302,"1,279",41.7,"665,464,734","90,805","19,218,236",67,"419,361,718","3,354,831","100,817","29,557,917","296,169,569","2,170,415,568",104,"381,613",593,46,"572,047",6,"75,309,642","14,292",,"6,223,371",,0,,
all of me,american dream,21 Savage,1/12/24,USSM12304894,"1,283",41.6,"87,111,207","20,380","29,657,028",,"4,705,879","71,296",,,,"18,111",7,60,2,6,"76,615",7,"2,375,480",751,"3,544,659","125,463",,1,,
Giving Me,Giving Me,Jazzy,3/10/23,GBUM72206719,"1,284",41.6,"150,463,218","44,298","37,322,737",67,"57,191,900","289,311","98,700","19,724,036","275,361,521","109,250,442",55,"55,943",250,27,"1,088,411",17,"31,188",365,"8,850,596","1,009,861",,0,,
TV,Guitar Songs,Billie Eilish,7/21/22,USUM72213724,"1,285",41.5,"572,602,278","80,064","39,873,526",76,"115,201,405","1,469,402","11,434","17,523,049","104,843,270","2,139,270,640",53,"5,214",33,33,"1,444,349",14,"4,031,121","8,582","7,208,492","1,521,109",,0,,
But Daddy I Love Him,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/24,USUG12401033,"1,286",41.5,"154,819,909","3,535","21,565,868",76,"10,014,516","120,378",,,,,41,,,5,"52,934",59,"4,441,601","3,123","97,074","67,086",,1,,
Take Me to Church,Take Me To Church,Hozier,9/16/13,IEACJ1300031,"1,293",41.4,"2,544,489,950","238,611","69,693,570",78,"1,690,342,490","16,798,785","107,362","35,030,283","261,203,495","319,369,976",172,282,148,116,"2,848,734",24,,,"277,623","29,306,436",,0,,
Love Lee,Love Lee,AKMU,8/21/23,KRA402300033,"1,294",41.4,"72,468,277","10,736","4,247,248",65,"143,446,620","1,074,996","578,162","105,772,835","1,060,502,179","564,698,812",10,"2,373",,2,"211,572",18,"18,149",94,,"257,725",,0,,
Jump,TYLA,Tyla,3/1/24,USSM12308661,"1,295",41.4,"95,341,415","10,243","123,617,533",77,"10,759,752","345,092",,,,"193,314,741",83,"13,371",181,61,"2,010,236",85,"1,121,337","1,297",,"640,594",,0,,
fantasmas,fantasmas - Single,Humbe,11/20/23,MXH912300041,"1,296",41.3,"88,072,335","6,388","10,711,840",,"70,685,035","1,063,539","434,100","101,185,703","825,658,316","173,954,035",14,207,,15,"6,092,408",1,"437,481","2,105",,"859,637",,0,,
Basit Numaralar,Basit Numaralar,Zerrin ï¿½ï¿,8/4/23,TRBTU2300129,"1,299",41.3,"57,370,965","7,149","2,238,082",58,"215,435,066","698,761","203,800","7,122,446","297,307,993","292,835,488",8,"10,610",,2,"1,567,770",,,,,"714,127",,0,,
Karma,Midnights,Taylor Swift,10/21/22,USUG12205717,"1,297",41.3,"777,305,444","47,435","45,285,568",75,"97,902,815","1,779,726","219,236","112,157,506","937,766,809","547,684,661",63,"31,306",405,18,"2,515,239",45,"59,480,642","30,027","187,009","1,124,725",,1,,
The Painter,The Painter - Single,Cody Johnson,8/11/23,QMCQK1900300,"1,298",41.3,"107,754,524","16,004","19,123,002",66,"11,577,220","74,756","52,374","6,216,569","53,554,260","606,141,627",25,"137,184",6,4,"89,113",19,"43,933,514","4,975","670,877","332,849",,0,,
Chiky Boom,Chiky Boom,Paylon,11/18/22,ES5052200746,"1,300",41.2,"41,254",14,769,1,"593,750,417","773,861",,,,,,1,,,,,,,,,,0,,
Vista Al Mar,Vista Al Mar,Quevedo,9/9/22,ZZOPM2239784,"1,303",41.2,"511,726,944","74,845","23,960,314",68,"182,250,623","931,096","91,068","14,320,250","193,905,770","632,374",15,"12,969",,15,"49,325",46,"636,907",315,,"596,476",,0,,
Imagine,Imagine,Carbonne,5/3/24,FR9W12422486,"1,301",41.2,"35,864,342","3,113","9,735,703",77,"11,599,115","162,098",,,,,18,"3,813",,26,"18,492,883",5,,,,"356,367",,0,,
Lehanga,Lehanga,Jass Manak,7/25/19,FR59R1989925,"1,305",41.2,"41,063,045",297,"35,247",,"1,741,817,091","12,058,286","3,495","326,094","7,747,330","26,897,247",1,,,,,,,,,,,0,,
CRAZYZ,Pa las Baby's Y Belikeada,Fuerza Regida,10/20/23,QZ9QQ2300772,"1,314",41.1,"202,633,616","12,683","18,918,954",78,"117,472,301","623,131",,"172,878","1,541,896","84,907,151",11,19,,14,"1,870,596",7,"8,147,122","2,211",,"564,296",,1,,
Passionfruit,More Life,Drake,3/18/17,USCM51700072,"1,309",41.1,"1,625,307,365","288,559","72,837,714",77,"410,329,826","2,747,230","185,316","144,066,647","907,498,533","2,327,344",241,"26,825",51,76,"401,696",28,"176,739,390","142,939","7,711,539","5,160,420",,0,,
Like Crazy,FACE,Jimin,3/24/23,USA2P2251865,"1,308",41.1,"1,165,398,518","16,425","22,818,507",84,"139,608,215","4,239,579","20,340","5,827,931","25,133,495","252,370,542",20,"7,682",12,38,"10,012,693",2,"34,061,208","1,010",,"830,091",,0,,
Take You Dancing,Nu King,Jason Derulo,2/16/24,USAT22400743,"1,317",41,,,,,,,,,,,1,,,,,1,,,,"7,637,698",,0,,
Wrecking Ball,538 Hitzone Best Of 2013,Miley Cyrus,1/1/13,USRC11301214,"1,316",41,"930,004,605","113,036","73,538,856",73,"1,694,450,676","11,543,620","735,137","110,364,036","1,460,975,398","553,346,151",168,"91,227",101,99,"530,866",88,"449,482,152","959,495",,"10,011,230",,0,,
Oh My God,30,Adele,11/19/21,USSM12105973,"1,327",40.8,"562,200,390","66,469","27,321,505",68,"175,552,661","2,085,739","53,453","28,692,207","324,045,421","3,501,820,871",143,"203,961",150,36,"1,269,793",35,"69,857,344","26,946",,"3,418,829",,0,,
Leave Out All The Rest,Papercuts,Linkin Park,4/12/24,USWB12401901,"1,329",40.8,"270,590,102",4,4,,,,,,,,,,,,,,,,,"1,782,705",,0,,
I AM,I've IVE,IVE,4/10/23,QM4TX2337764,"1,326",40.8,"269,067,890","20,356","8,290,715",71,"256,133,933","2,369,761","103,447","53,293,582","473,159,481","576,651,305",34,"4,050",30,2,"4,892",25,"498,947","2,286",,"523,507",,0,,
Midnight Sky,Midnight Sky,Miley Cyrus,8/14/20,USRC12002653,"1,323",40.8,"629,372,240","86,326","19,484,618",66,"301,362,454","2,670,514","59,565","33,434,126","286,126,363","37,277,534",199,"431,736",130,76,"497,102",66,"46,663,846","18,489",,"4,783,852",,0,,
Andrea,Un Verano Sin Ti,Bad Bunny,5/6/22,QM6MZ2214893,"1,335",40.7,"432,885,913","51,912","12,241,438",71,"321,888,868","1,818,193","575,000","152,132,878","1,232,405,599","20,330,597",14,"2,673",42,2,"200,870",6,"17,790,574","5,179",,"901,897",,1,,
Tenho Que Me Decidir,O Cara Do Momento,MC PH,11/29/23,BXG6R2301027,"1,334",40.7,"111,408,880","17,345","11,402,769",,"92,538,511","602,552",,,,"448,644,270",13,10,,20,"593,174",13,463,,,"234,008",,1,,
Wunder,Wunder,AYLIVA,4/26/24,DEA622401272,"1,336",40.7,"47,364,546","3,863","15,268,731",77,"11,650,472","163,940",,,,"31,086,179",20,"7,361",,15,"9,170,707",32,,,,"223,239",,1,,
Safaera,YHLQMDLG,Bad Bunny,2/29/20,QM4TX2030965,"1,331",40.7,"868,744,690","116,275","31,273,843",70,"491,413,241","3,414,196","1,386,728","112,367,323","989,597,627","129,404,102",125,"20,107",11,67,"496,043",25,"73,353,572","44,045",,"2,268,804",,1,,
Baby,R&B Collection 2011,Justin Bieber,1/1/10,USUM70919263,"1,337",40.7,"952,635,214","136,655","76,732,478",76,"3,312,260,344","26,679,549","247,185","131,384,412","1,174,409,085","863,841,137",90,"15,322",41,38,"517,808",24,"90,568,001","759,376",,"4,413,818",,0,,
On BS,Her Loss,Drake,11/4/22,USUG12208600,"1,333",40.7,"253,540,951","82,934","17,735,363",67,"22,665,894","368,326","144,311","72,901,216","494,336,128","24,050",17,1,25,2,"136,913",18,"13,857,732","3,847","9,123,989","508,529",,1,,
Marlboro Remix,Marlboro Remix - Single,,6/7/24,QZNWT2471497,"1,343",40.6,,,,,,,,,,,,,,,,,,,,"504,979",,0,,
Love Again,Love Again,The Kid LAROI,1/27/23,USSM12211461,"1,342",40.6,"215,466,975","44,476","12,164,093",62,"28,993,149","455,224","21,208","3,567,265","65,897,455","15,043,035",44,"140,425","1,410",22,"107,491",11,"18,081,156","11,986","4,201,807","982,555",,0,,
LAGUNAS,LAGUNAS,Peso Pluma,6/22/23,QM7282306255,"1,339",40.6,"301,396,080","23,886","6,601,410",74,"85,636,375","455,525","133,500","29,951,984","232,731,548",,7,66,,4,"1,187,237",2,"8,892,991","5,881","6,255,854","728,319",,1,,
The Feels,The Feels,TWICE,10/1/21,US5TA2100080,"1,346",40.5,"431,638,330","43,727","10,543,105",66,"564,641,494","7,674,539","641,703","351,794,036","2,323,894,242","91,545,454",33,"10,156",174,7,"164,797",37,"2,078,193","4,119",,"910,474",,0,,
